招生代码,学校,区,余额,住宿,学费,地址
064024,上海市民办风范中学,静安区,1,无寄宿,22400,阳曲路667号
074081,上海安生学校,普陀区,27,可以住宿,50000,上海市普陀区桃 清路58号
104021,上海市民办上实剑桥外国语中学,杨浦区,118,无,27360,延吉东路99号
124117,上海闵行区诺美高级中学,闵行区,26,部分寄宿,学费最高不 超过62500 元/学期，最 终以区政府 核定价格为 准。,上海市闵行区淀 南路159号
124118,上海圣华紫竹高级中学,闵行区,93,部分寄宿,学费最高不 超过105000 元/学期，最 终以区政府 核定价格为 准。,上海市闵行区寺 嘴角路111号
125117,上海闵行区诺达双语学校,闵行区,51,部分寄宿,120000,上海市闵行区金 辉路1339号
125119,上海闵行区民办德闳学校,闵行区,42,部分寄宿,124000,上海市闵行区曙 光路1935号
134010,上海民办行中中学,宝山区,157,部分寄宿,40500,上海市宝山区顾 陈路800号
134013,上海宝山区民办维尚高级中学,宝山区,32,部分寄宿,80000,上海市宝山区同 济路299号
134014,上海创艺高级中学,宝山区,133,部分寄宿,62000,上海市宝山区潘 泾路3039号
134015,上海市宝山华曜高级中学,宝山区,28,部分寄宿,42000,上海市宝山区鄱 阳湖路635号
135001,上海市同洲模范学校,宝山区,39,部分寄宿,25200,通河六村166号
135003,上海金瑞学校,宝山区,58,全部寄宿,75000,上海市宝山区金 池路169号
145007,上海市民办远东学校,嘉定区,2,部分寄宿,25000,嘉定区菊园街道 胜竹路1630号
145018,上海华旭双语学校,嘉定区,226,全部寄宿,68000,嘉定区安亭镇安 驰路569号
145030,上海嘉定区民办华盛怀少学校,嘉定区,166,部分寄宿,80000,嘉定区南翔镇古 猗园路718号
151082,上海民办光华中学,浦东新区,24,部分寄宿,58000,川周公路2800号
154033,上海市浦东新区民办浦实高级中学,浦东新区,86,部分寄宿,27000,上海市唐陆公路 3928号
154039,上海市民办丰华高级中学,浦东新区,3,部分寄宿,21500,凌河路420弄88号
154048,民办上海工商外国语职业学院附属中学,浦东新区,1,部分寄宿,20000,浦东新区惠南镇 人民东路2429号
155013,上海市民办金苹果学校,浦东新区,6,全部寄宿,31000,巨峰路1555号
155041,上海浦东新区民办东鼎外国语学校,浦东新区,36,全部寄宿,30000,浦东新区惠南镇 观海路699号
155047,上海浦东新区民办沪港学校,浦东新区,44,全部寄宿,89000,南汇新城镇银莲 路2号
155050,上海浦东新区民办万科学校,浦东新区,26,无寄宿,83000,康桥路1700号2-4 号
155052,上海浦东新区民办惠立学校,浦东新区,12,无寄宿,110000,浦东新区林耀路 235号
155053,上海浦东新区民办宏文学校,浦东新区,5,部分寄宿,83000,川大路318号
155056,上海浦东新区民办康德学校,浦东新区,45,部分寄宿,99000,北蔡镇康恒路70 号
155057,上海浦东新区民办籽奥高级中学,浦东新区,40,部分寄宿,50000,秀沿路1361号
164005,上海市民办交大南洋中学,金山区,13,部分寄宿,18000,金山区亭林镇松 隐大街100号
164008,上海市民办永昌中学,金山区,27,全部寄宿,40000,金山区山富西路 99号
173002,上海市松江区科德高级中学,松江区,35,部分住宿,90000,上海市松江区外 青松公路9488号
173005,上海市松江区励滕高级中学,松江区,38,部分住宿,不超过 90000元/学 期（以价格 主管部门最 终核定的价 格为准）,上海市松江区佘 山镇河东街2号
173006,上海市松江区弘毅南洋高级中学,松江区,69,部分住宿,不超过 19800元/学 期（以价格 主管部门最 终核定的价 格为准）,上海市松江区东 市街148号
174013,上海领科双语学校,松江区,1,部分住宿,90000,上海市松江区涞 亭南路559号
175018,上海市西外外国语学校 （非国际课程班）,松江区,15,部分住宿,32000,上海市松江区文 翔路1100号
175024,上海赫贤学校,松江区,42,部分住宿,102000,上海松江区茸北 路336号
175025,上海松江区爱菊学校,松江区,41,部分住宿,75000,上海市松江区文 俊东路100弄1-12 号
184006,上海青浦区世外高级中学,青浦区,20,"床位有 限，采取 住宿申请 制；住宿 费10,000 元/每学期",95000,上海市青浦区蟠 文路455号
184007,上海青浦区宏润博源高级中学,青浦区,62,提供住 宿，住宿 费7500元/ 每学期,87000,上海市青浦区朱 家角镇课植园路 178号
185014,上海青浦区协和双语学校,青浦区,32,提供住 宿，住宿 费15000元 /学期,85000,上海市青浦区赵 巷镇业锦路32号
204020,上海美达菲双语高级中学,奉贤区,87,部分寄宿,40000,上海市奉贤区金 海社区汇丰北路 799号
204021,上海奉贤区博华高级中学,奉贤区,1,部分寄宿,21200,上海市奉贤区八 字桥路686号
514010,上海民办民一中学,崇明区,18,部分,20000,崇明区北堡镇解 放街230号
514014,上海新纪元双语学校,崇明区,20,提供住宿,55000,崇明区陈家镇陈 西村1518号
