区,初中学校,招生学校,最低分,同分优待,综评,语数外,数学,语文,综合测试
嘉定区,上海市嘉定区启良中学,上海市嘉定区第一中学,734,否,50,406,138,124,134
嘉定区,上海市嘉定区启良中学,上海交通大学附属中学嘉定分校,743,否,50,400,134,123,148
嘉定区,上海市嘉定区启良中学,上海师范大学附属中学嘉定新城分校,732,否,50,404,142,119,136
嘉定区,上海市嘉定区方泰中学,上海市嘉定区第一中学,726,否,50,389.5,124,120,141
嘉定区,上海市嘉定区方泰中学,上海交通大学附属中学嘉定分校,742.5,否,50,409.5,133,132,140
嘉定区,上海市嘉定区方泰中学,上海师范大学附属中学嘉定新城分校,724.5,否,50,394.5,127,126,136
嘉定区,上海市嘉定区方泰中学,上海师范大学附属中学,733,否,50,401.5,119,137,137
嘉定区,上海市曹杨二中附属江桥实验中,上海市嘉定区第一中学,733,否,50,404,134,124,135
嘉定区,上海市曹杨二中附属江桥实验中,上海交通大学附属中学嘉定分校,757.5,否,50,414.5,142,127,148
嘉定区,上海市曹杨二中附属江桥实验中,上海师范大学附属中学嘉定新城分校,738.5,否,50,398.5,133,122,146
嘉定区,上海市嘉定区迎园中学,上海市嘉定区第一中学,738.5,否,50,404.5,128,134,139
嘉定区,上海市嘉定区迎园中学,上海交通大学附属中学嘉定分校,750,否,50,412,137,128,142
嘉定区,上海市嘉定区迎园中学,上海师范大学附属中学嘉定新城分校,743,否,50,408,127,133,138
嘉定区,上海市嘉定区迎园中学,华东师范大学第二附属中学,760.5,否,50,416,140,130,148
嘉定区,上海市嘉定区南苑中学,上海市嘉定区第一中学,733,否,50,395,131,120,144
嘉定区,上海市嘉定区南苑中学,上海交通大学附属中学嘉定分校,737,否,50,408,137,127,133
嘉定区,上海市嘉定区南苑中学,上海师范大学附属中学嘉定新城分校,730.5,否,50,397.5,132,126,136
嘉定区,上海市嘉定区黄渡中学,上海市嘉定区第一中学,738.5,否,50,407.5,133,132,138
嘉定区,上海市嘉定区黄渡中学,上海交通大学附属中学嘉定分校,747,否,50,409,133,132,144
嘉定区,上海市嘉定区黄渡中学,上海师范大学附属中学嘉定新城分校,731,否,50,395,119,135,139
嘉定区,上海市嘉定区徐行中学,上海市嘉定区第一中学,711.5,否,50,376.5,120,122,142
嘉定区,上海市嘉定区徐行中学,上海交通大学附属中学嘉定分校,710.5,否,50,384.5,134,119,136
嘉定区,上海市嘉定区徐行中学,上海师范大学附属中学嘉定新城分校,712.5,否,50,380.5,123,125,135
嘉定区,上海市嘉定区徐行中学,华东师范大学第二附属中学,758.5,否,50,420.5,147,132,142
嘉定区,上海市嘉定区马陆育才联合中学,上海市嘉定区第一中学,709.5,否,50,398.5,135,131,118
嘉定区,上海市嘉定区马陆育才联合中学,上海交通大学附属中学嘉定分校,727.5,否,50,389,115,129,143
嘉定区,上海市嘉定区马陆育才联合中学,上海师范大学附属中学嘉定新城分校,723,否,50,392,115,132,136
嘉定区,上海市民办嘉宜初级中学,上海市嘉定区第一中学,739.5,否,50,407.5,138,127,137
嘉定区,上海市民办嘉宜初级中学,上海交通大学附属中学嘉定分校,748,否,50,415,143,125,140
嘉定区,上海市民办嘉宜初级中学,上海师范大学附属中学嘉定新城分校,734.5,否,50,400,134,125,140
嘉定区,上海市嘉定区丰庄中学,上海市嘉定区第一中学,726.5,否,50,400.5,121,134,133
嘉定区,上海市嘉定区丰庄中学,上海交通大学附属中学嘉定分校,747.5,否,50,403.5,130,126,146
嘉定区,上海市嘉定区丰庄中学,上海师范大学附属中学嘉定新城分校,732.5,否,50,401.5,140,119,140
