区,招生学校,最低分,同分优待,综评,语数外,数学,语文,综合测试
嘉定区,上海市格致中学,749,否,50,410,137,127,143
嘉定区,上海市大同中学,740.5,否,50,405.5,128,131,141
嘉定区,上海外国语大学附属大境中学,707.5,否,50,390.5,122,128,122
嘉定区,上海市光明中学,707.5,否,50,381,128,114,142
嘉定区,上海市卢湾高级中学,717.5,否,50,386.5,124,118,137
嘉定区,同济大学科技中学,762,否,50,420,143,129,145
嘉定区,上海市第二中学,714.5,否,50,387.5,127,128,133
嘉定区,上海市南洋模范中学,755.5,否,50,420.5,144,132,140
嘉定区,上海市上海中学,769,否,50,422,144,131,148
嘉定区,上海市位育中学,743,否,50,400,130,124,148
嘉定区,上海市南洋中学,731.5,否,50,397.5,129,124,139
嘉定区,上海市第三女子中学,714.5,否,50,393,126,123,125
嘉定区,上海市延安中学,750.5,否,50,424.5,141,136,133
嘉定区,上海市复旦中学,735,否,50,399,137,126,144
嘉定区,上海市育才中学,737.5,否,50,408.5,128,135,132
嘉定区,上海市新中高级中学,726.5,否,50,395.5,129,123,138
嘉定区,上海市市北中学,722.5,否,50,388,132,113,139
嘉定区,上海市回民中学,707,否,50,386.5,122,132,133
嘉定区,上海市华东模范中学,702,否,50,380.5,115,124,130.5
嘉定区,上海市晋元高级中学,743.5,否,50,406.5,129,132,141
嘉定区,上海市曹杨第二中学,755,否,50,417,140,130,140
嘉定区,上海市宜川中学,716,否,50,380,127,128,140
嘉定区,华东师范大学第二附属中学（普陀校区）,757.5,否,50,417.5,137,134,146
嘉定区,复旦大学附属复兴中学,750.5,否,50,409.5,135,133,146
嘉定区,华东师范大学第一附属中学,740,否,50,407,143,120,142
嘉定区,上海财经大学附属北郊高级中学,712.5,否,50,383.5,113,128,132
嘉定区,上海市杨浦高级中学,729.5,否,50,401.5,122,130,130
嘉定区,上海市控江中学,750,否,50,410,135,130,148
嘉定区,上海交通大学附属中学,768.5,否,50,425.5,142,137,148
嘉定区,复旦大学附属中学,768,否,50,427,143,138,145
嘉定区,同济大学第一附属中学,740,否,50,401,128,131,144
嘉定区,上海市七宝中学,757,否,50,413,142,128,147
嘉定区,华东师范大学第二附属中学闵行紫竹分校,757,否,50,415,139,131,144
嘉定区,上海师范大学附属中学闵行分校,730,否,50,401,133,123,131
嘉定区,上海市闵行中学,728.5,否,50,402.5,129,130,131
嘉定区,上海市行知中学,745.5,否,50,406.5,127,137,145
