区,年份,学校,最低分
杨浦区,2025,复旦大学附属中学,707.5
杨浦区,2025,上海交通大学附属中学,707.0
杨浦区,2025,华东师范大学第二附属中学,707.0
杨浦区,2025,上海市上海中学,707.0
杨浦区,2025,上海市控江中学,690.0
杨浦区,2025,上海市杨浦高级中学,683.5
杨浦区,2025,同济大学第一附属中学,677.5
杨浦区,2025,复旦大学第二附属中学,688.0
杨浦区,2025,上海理工大学附属中学,661.0
杨浦区,2025,上海市市东实验学校（上海市市东中学）,650.0
杨浦区,2025,上海财经大学附属中学,638.0
杨浦区,2025,上海市复旦实验中学,631.0
杨浦区,2025,上海市同济中学,619.5
杨浦区,2025,上海市中原中学,606.0
杨浦区,2025,上海理工大学附属杨浦少云中学,591.5
杨浦区,2025,上海市民星中学,573.5
杨浦区,2025,上海市体育学院附属中学,562.0
杨浦区,2025,上海市民办上实剑桥外国语中学,518.0
杨浦区,2025,上海市同济黄浦设计创意中学,619.0
杨浦区,2025,上海市久隆模范中学,609.0
杨浦区,2025,上海戏剧学院附属高级中学（艺术班）,587.5
杨浦区,2025,上海音乐学院附属安师实验中学（艺术班）,600.0
杨浦区,2025,上海市崇明区城桥中学,530.5
杨浦区,2025,上海市民办风范中学,597.0
杨浦区,2025,上海安生学校,516.5
杨浦区,2025,上海市民办燎原双语高级中学,587.5
杨浦区,2025,上海民办行中中学,564.0
杨浦区,2025,上海存志高级中学,655.0
杨浦区,2025,上海宝山区民办维尚高级中学,598.5
杨浦区,2025,上海创艺高级中学,523.0
杨浦区,2025,上海市同洲模范学校,598.5
杨浦区,2025,上海金瑞学校,558.0
杨浦区,2025,上海市民办远东学校,562.0
杨浦区,2025,上海华旭双语学校,596.5
杨浦区,2025,上海市民办丰华高级中学,572.0
杨浦区,2025,民办上海工商外国语职业学院附属中学,557.5
杨浦区,2025,上海市民办金苹果学校,592.5
杨浦区,2025,上海浦东新区民办东鼎外国语学校,570.0
杨浦区,2025,上海市民办交大南洋中学,566.5
杨浦区,2025,上海市民办永昌中学,560.0
杨浦区,2025,上海市松江九峰实验学校,653.0
杨浦区,2025,上海市西外外国语学校,525.0
杨浦区,2025,上海青浦区世外高级中学,688.0
杨浦区,2025,上海美达菲双语高级中学,539.0
杨浦区,2025,上海奉贤区博华高级中学,568.0
杨浦区,2025,上海民办民一中学,500.5
杨浦区,2025,上海嘉定区民办华盛怀少学校,513.0
杨浦区,2025,上海青浦区宏润博源高级中学,513.0
青浦区,2025,上海市上海中学,711.0
青浦区,2025,上海田家炳中学,643.0
