类别,学校,专业,最低分/余额
五年一贯制,上海电子信息职业技术学院（中职部）,消防救援技术,155.5
五年一贯制,上海电子信息职业技术学院（中职部）,应用电子技术,310.5
五年一贯制,上海电子信息职业技术学院（中职部）,数字媒体艺术设计,325.5
五年一贯制,上海震旦职业学院海（中职部）,护理,273.5
五年一贯制,上海震旦职业学院海（中职部）,大数据与会计,243.5
五年一贯制,上海震旦职业学院海（中职部）,数字媒体技术,235
五年一贯制,上海震旦职业学院海（中职部）,酒店管理与数字化运营,222.5
五年一贯制,上海震旦职业学院海（中职部）,物联网应用技术,223
五年一贯制,上海震旦职业学院海（中职部）,大数据与财务管理,109.5
五年一贯制,上海震旦职业学院海（中职部）,电子商务,226.5
五年一贯制,上海震旦职业学院海（中职部）,药学,295.5
五年一贯制,上海震旦职业学院海（中职部）,艺术设计,208.5
五年一贯制,上海震旦职业学院海（中职部）,影视多媒体技术,238
五年一贯制,上海南湖职业技术学院（中职部）,数字媒体技术,348.5
五年一贯制,上海南湖职业技术学院（中职部）,融媒体技术与运营,307
五年一贯制,上海南湖职业技术学院（中职部）,虚拟现实技术应用,295
五年一贯制,上海南湖职业技术学院（中职部）,新能源汽车检测与维修技术,291.5
五年一贯制,上海南湖职业技术学院（中职部）,智能网联汽车技术,277
五年一贯制,上海南湖职业技术学院（中职部）,护理,343
五年一贯制,上海南湖职业技术学院（中职部）,酒店管理与数字化运营,262
五年一贯制,上海南湖职业技术学院（中职部）,国际邮轮乘务管理,255.5
五年一贯制,上海交通职业技术学院（中职部）,航海技术,273.5
五年一贯制,上海交通职业技术学院（中职部）,城市轨道车辆应用技术,285
五年一贯制,上海交通职业技术学院（中职部）,城市轨道交通机电技术,323
五年一贯制,上海交通职业技术学院（中职部）,城市轨道交通供配电技术,275
五年一贯制,上海交通职业技术学院（中职部）,汽车检测与维修技术,266
五年一贯制,上海交通职业技术学院（中职部）,城市燃气工程技术,272
五年一贯制,上海交通职业技术学院（中职部）,给排水工程技术,272
五年一贯制,上海交通职业技术学院（中职部）,现代物流管理,292.5
五年一贯制,上海交通职业技术学院（中职部）,交通运营管理,303
五年一贯制,上海农林职业技术学院（中职部）,动物医学,355.5
五年一贯制,上海农林职业技术学院（中职部）,园林技术,285
五年一贯制,上海农林职业技术学院（中职部）,园艺技术,311
五年一贯制,上海建设管理职业技术学院（中职部）,装配式建筑工程技术,208.5
五年一贯制,上海建设管理职业技术学院（中职部）,市政工程技术,254.5
五年一贯制,上海建设管理职业技术学院（中职部）,测绘地理信息技术,194
五年一贯制,上海建设管理职业技术学院（中职部）,风景园林设计,163.5
五年一贯制,上海建设管理职业技术学院（中职部）,花卉生产与花艺,297.5
五年一贯制,上海建设管理职业技术学院（中职部）,物联网应用技术,282.5
五年一贯制,上海建设管理职业技术学院（中职部）,工程造价,277.5
五年一贯制,上海建设管理职业技术学院（中职部）,智慧城市管理技术,231.5
五年一贯制,上海科创职业技术学院（中职部）,工业机器人技术,337.5
五年一贯制,上海科创职业技术学院（中职部）,工业互联网技术,312.5
五年一贯制,上海科创职业技术学院（中职部）,数控技术,271.5
五年一贯制,上海科创职业技术学院（中职部）,电气自动化技术,333
五年一贯制,上海科创职业技术学院（中职部）,智能控制技术,302
五年一贯制,上海科创职业技术学院（中职部）,跨境电子商务,306.5
五年一贯制,上上海闵行职业技术学院（中职部）,智能机电技术,303
五年一贯制,上上海闵行职业技术学院（中职部）,工业机器人技术,304.5
五年一贯制,上上海闵行职业技术学院（中职部）,新能源汽车检测与维修技术,294
五年一贯制,上上海闵行职业技术学院（中职部）,云计算技术应用,293
五年一贯制,上上海闵行职业技术学院（中职部）,建筑室内设计,248
五年一贯制,上上海闵行职业技术学院（中职部）,服装与服饰设计,290.5
五年一贯制,上上海闵行职业技术学院（中职部）,跨境电子商务,311.5
五年一贯制,上海现代化工职业学院（中职部）,机电一体化技术,269.5
五年一贯制,上海现代化工职业学院（中职部）,数字化设计与制造技术,289
五年一贯制,上海现代化工职业学院（中职部）,应用化工技术,267
五年一贯制,上海现代化工职业学院（中职部）,分析检验技术,305.5
五年一贯制,上海现代化工职业学院（中职部）,现代物流管理,265
五年一贯制,上海浦东职业技术学院（中职部）,飞行器维修技术,285.5
五年一贯制,上海浦东职业技术学院（中职部）,飞行器数字化装配技术,262
五年一贯制,上海浦东职业技术学院（中职部）,航空发动机装配调试技术,265
五年一贯制,上海浦东职业技术学院（中职部）,人工智能技术应用,313
五年一贯制,上海浦东职业技术学院（中职部）,智能机器人技术,289
五年一贯制,上海浦东职业技术学院（中职部）,融媒体技术与运营,330
五年一贯制,上海浦东职业技术学院（中职部）,虚拟现实技术应用,270.5
五年一贯制,上海浦东职业技术学院（中职部）,跨境电子商务,283
五年一贯制,上海浦东职业技术学院（中职部）,智能物流技术,248.5
中高职贯通,上海商业会计学校,大数据与会计,378
中高职贯通,上海商业会计学校,大数据与会计,327.5
中高职贯通,上海商业会计学校,关务与外贸服务,241
中高职贯通,上海商业会计学校,国际金融,275
中高职贯通,上海商业会计学校,影视多媒体技术,351.5
中高职贯通,上海市商贸旅游学校,旅游管理,298.5
中高职贯通,上海市商贸旅游学校,酒店管理与数字化运营,270.5
中高职贯通,上海市商贸旅游学校,现代物流管理,208
中高职贯通,上海市商贸旅游学校,广告艺术设计,237
中高职贯通,上海市工商外国语学校,国际商务,368.5
中高职贯通,上海市工商外国语学校,应用英语,365
中高职贯通,上海市工商外国语学校,飞行器数字化制造技术,270
中高职贯通,上海市工商外国语学校,大数据技术,225
中高职贯通,上海市工商外国语学校,旅游日语,324
中高职贯通,上海市工商外国语学校,应用西班牙语,251.5
中高职贯通,上海市工商外国语学校,应用德语,243.5
中高职贯通,上海市工商外国语学校,应用韩语,280.5
中高职贯通,上海市工商外国语学校,应用法语,240
中高职贯通,上海市工商外国语学校,应用俄语,131.5
中高职贯通,上海市工业技术学校,眼视光技术,359.5
中高职贯通,上海市工业技术学校,数控技术,285
中高职贯通,上海市工业技术学校,工业机器人技术,279
中高职贯通,上海市工业技术学校,无人机应用技术,290.5
中高职贯通,上海市工业技术学校,应用电子技术,274.5
中高职贯通,上海市工业技术学校,计算机应用技术,305.5
中高职贯通,上海市工业技术学校,供热通风与空调工程技术,215.5
中高职贯通,上海市工业技术学校,虚拟现实技术应用,234
中高职贯通,上海市材料工程学校,机电一体化技术,281.5
中高职贯通,上海市材料工程学校,电气自动化技术,277.5
中高职贯通,上海市材料工程学校,工业机器人技术,275
中高职贯通,上海市材料工程学校,环境工程技术,257
中高职贯通,上海市材料工程学校,建筑装饰工程技术,242.5
中高职贯通,上海市材料工程学校,电子商务,262
中高职贯通,上海市材料工程学校,机械制造及自动化,260
中高职贯通,上海市材料工程学校,艺术设计,203.5
中高职贯通,上海市材料工程学校,数字媒体艺术设计,261
中高职贯通,上海市材料工程学校,数字媒体艺术设计,230
中高职贯通,上海市材料工程学校,首饰设计与工艺,216.5
中高职贯通,上海市材料工程学校,机械制造及自动化,232.5
中高职贯通,上海市材料工程学校,宝玉石鉴定与加工,187
中高职贯通,上海市信息管理学校,计算机网络技术,332.5
中高职贯通,上海市信息管理学校,计算机网络技术,257.5
中高职贯通,上海市信息管理学校,计算机应用技术,267.5
中高职贯通,上海市信息管理学校,广告艺术设计,289
中高职贯通,上海市信息管理学校,影视多媒体技术,312
中高职贯通,上海市信息管理学校,酒店管理与数字化运营,238.5
中高职贯通,上海市信息管理学校,烹饪工艺与营养,302.5
中高职贯通,上海市信息管理学校,餐饮智能管理,254.5
中高职贯通,上海市信息管理学校,民航运输服务,256
中高职贯通,上海市信息管理学校,航空物流管理,291.5
中高职贯通,上海信息技术学校,食品质量与安全,351.5
中高职贯通,上海信息技术学校,人工智能技术应用,355
中高职贯通,上海信息技术学校,软件技术,358.5
中高职贯通,上海信息技术学校,电子商务,335
中高职贯通,上海信息技术学校,计算机网络技术,349.5
中高职贯通,上海信息技术学校,影视多媒体技术,337.5
中高职贯通,上海信息技术学校,机电一体化技术,332.5
中高职贯通,上海信息技术学校,飞行器数字化制造技术,320
中高职贯通,上海信息技术学校,信息安全技术应用,322
中高职贯通,上海信息技术学校,工业机器人技术,308
中高职贯通,上海信息技术学校,移动互联应用技术,289.5
中高职贯通,上海信息技术学校,智能控制技术,244.5
中高职贯通,上海信息技术学校,移动互联应用技术,235.5
中高职贯通,上海信息技术学校,机电一体化技术,270
中高职贯通,上海信息技术学校,首饰设计与工艺,268.5
中高职贯通,上海市经济管理学校,计算机网络技术,264.5
中高职贯通,上海市经济管理学校,智能互联网络技术,236
中高职贯通,上海市经济管理学校,大数据与会计,252
中高职贯通,上海市经济管理学校,现代物流管理,197
中高职贯通,上海市经济管理学校,艺术设计,228
中高职贯通,上海市经济管理学校,应用日语,190.5
中高职贯通,上海市经济管理学校,应用德语,204
中高职贯通,上海市经济管理学校,应用英语,222.5
中高职贯通,上海市商业学校,大数据与会计,372
中高职贯通,上海市商业学校,国际商务,369
中高职贯通,上海市商业学校,酒店管理与数字化运营,241.5
中高职贯通,上海市商业学校,应用英语,266
中高职贯通,上海市商业学校,应用日语,256.5
中高职贯通,上海市商业学校,人物形象设计,315.5
中高职贯通,上海市商业学校,影视动画,306.5
中高职贯通,上海市商业学校,旅游管理,268
中高职贯通,上海市贸易学校,电子商务,352
中高职贯通,上海市贸易学校,食品智能加工技术,253
中高职贯通,上海市贸易学校,人工智能技术应用,263.5
中高职贯通,上海市贸易学校,大数据技术,250
中高职贯通,上海市贸易学校,软件技术,229.5
中高职贯通,上海科技管理学校,宠物医疗技术,318.5
中高职贯通,上海科技管理学校,供热通风与空调工程技术,260.5
中高职贯通,上海科技管理学校,食品检验检测技术,315.5
中高职贯通,上海科技管理学校,物联网应用技术,236
中高职贯通,上海科技管理学校,现代物流管理,239
中高职贯通,上海市建筑工程学校,建筑工程技术,225
中高职贯通,上海市建筑工程学校,工程造价,234.5
中高职贯通,上海市建筑工程学校,建筑装饰工程技术,255.5
中高职贯通,上海市建筑工程学校,供热通风与空调工程技术,246.5
中高职贯通,上海市建筑工程学校,护理,313.5
中高职贯通,上海市建筑工程学校,智慧健康养老服务与管理,296
中高职贯通,上海市西南工程学校,建筑智能化工程技术,215.5
中高职贯通,上海市西南工程学校,建筑室内设计,253
中高职贯通,上海市现代流通学校,现代物流管理,224.5
中高职贯通,上海市现代流通学校,航空物流管理,258.5
中高职贯通,上海市现代流通学校,民航运输服务,225
中高职贯通,上海市现代流通学校,电子商务,220.5
中高职贯通,上海市现代流通学校,艺术设计,211
中高职贯通,上海市现代流通学校,大数据与会计,220
中高职贯通,上海市现代流通学校,空中乘务,196.5
中高职贯通,海上海市大众工业学校,机电一体化技术,320
中高职贯通,海上海市大众工业学校,工业机器人技术,298.5
中高职贯通,海上海市大众工业学校,智能控制技术,254
中高职贯通,海上海市大众工业学校,汽车检测与维修技术,282
中高职贯通,海上海市大众工业学校,物联网应用技术,238.5
中高职贯通,海上海市大众工业学校,数字媒体技术,275
中高职贯通,上海市行政管理学校,现代文秘,220.5
中高职贯通,上海市行政管理学校,计算机网络技术,232.5
中高职贯通,上海市行政管理学校,大数据与会计,243
中高职贯通,上海市行政管理学校,物联网应用技术,222.5
中高职贯通,上海市行政管理学校,现代农业经济管理,242.5
中高职贯通,上海市行政管理学校,大数据技术,236.5
中高职贯通,上海市行政管理学校,电子竞技运动与管理,201
中高职贯通,上海市工艺美术学校,艺术设计,276
中高职贯通,上海市工艺美术学校,工艺美术品设计,294.5
中高职贯通,上海港湾学校,机电一体化技术,267
中高职贯通,上海港湾学校,商务英语,269.5
中高职贯通,上海市第二轻工业学校,服装与服饰设计,272.5
中高职贯通,上海市第二轻工业学校,数字媒体艺术设计,335.5
中高职贯通,上海市第二轻工业学校,环境艺术设计,227
中高职贯通,上海市第二轻工业学校,电子商务,292.5
中高职贯通,上海市第二轻工业学校,现代物流管理,270
中高职贯通,上海市第二轻工业学校,大数据技术,239.5
中高职贯通,上海市医药学校,药品生物技术,366.5
中高职贯通,上海市环境学校,环境工程技术,264.5
中高职贯通,上海市环境学校,机电一体化技术,346
中高职贯通,上海市环境学校,生物产品检验检疫,307.5
中高职贯通,上海市环境学校,新能源汽车检测与维修技术,271
中高职贯通,上海市环境学校,分析检验技术,247
中高职贯通,上海市航空服务海学校,空中乘务,170.5
中高职贯通,上海市航空服务海学校,飞行器数字化制造技术,302.5
中高职贯通,上海市航空服务海学校,民航安全技术管理,335
中高职贯通,上海市航空服务海学校,民航运输服务,340
中高职贯通,上海市航空服务海学校,飞机机电设备维修,309
中高职贯通,上海食品科技学校,农产品加工与质量检测,255.5
中高职贯通,上海食品科技学校,生物产品检验检疫,292.5
中高职贯通,上海食品科技学校,物联网应用技术,262
中高职贯通,上海食品科技学校,数字化设计与制造技术,248.5
中高职贯通,上海市城市科技学校,智能机电技术,255
中高职贯通,上海市城市科技学校,新能源汽车技术,262.5
中高职贯通,上海市城市科技学校,建筑装饰工程技术,234
中高职贯通,上海工商信息学校,数字媒体技术,331
中高职贯通,上海工商信息学校,民宿管理与运营,230.5
中高职贯通,上海工商信息学校,园林技术,292
中高职贯通,上海工商信息学校,移动应用开发,220
中高职贯通,上海工商信息学校,工业机器人技术,285.5
中高职贯通,上海电机学院附属科技学校海（上海市临港科技学校）,数控技术,311.5
中高职贯通,上海电机学院附属科技学校海（上海市临港科技学校）,机电一体化技术,342
中高职贯通,上海电机学院附属科技学校海（上海市临港科技学校）,工业机器人技术,349.5
中高职贯通,上海电机学院附属科技学校海（上海市临港科技学校）,飞行器维修技术,229.5
中高职贯通,上海电机学院附属科技学校海（上海市临港科技学校）,微电子技术,304.5
中高职贯通,上海市奉贤中等专海业学校,酒店管理与数字化运营,319.5
中高职贯通,上海市奉贤中等专海业学校,人工智能技术应用,301.5
中高职贯通,上海市奉贤中等专海业学校,机电一体化技术,267
中高职贯通,上海市奉贤中等专海业学校,新能源汽车技术,254
中高职贯通,上海市奉贤中等专海业学校,机械制造及自动化,201
中高职贯通,上海市高级技工学校,电气自动化技术,384
中高职贯通,上海市高级技工学校,机械制造及自动化,366
中高职贯通,上海市高级技工学校,机械制造及自动化,345
中高职贯通,上海市高级技工学校,应用电子技术,362
中高职贯通,上海新闻出版职业技术学校,印刷媒体技术,266
中高职贯通,上海新闻出版职业技术学校,出版商务,265
中高职贯通,上海新闻出版职业技术学校,数字出版,274
中高职贯通,上海新闻出版职业技术学校,印刷数字图文技术,270
中高职贯通,上海新闻出版职业技术学校,包装策划与设计,248
中高职贯通,沪东中华造船集团高级技工学校,机电一体化技术,245.5
中高职贯通,沪东中华造船集团高级技工学校,电气自动化技术,243.5
中高职贯通,沪东中华造船集团高级技工学校,船舶工程技术,227.5
中高职贯通,海中华职业学校,空中乘务,164.5
中高职贯通,海中华职业学校,民航运输服务,244.5
中高职贯通,海中华职业学校,民航运输服务,276
中高职贯通,海中华职业学校,影视动画,221
中高职贯通,海中华职业学校,戏剧影视表演,239.5
中高职贯通,海中华职业学校,舞台艺术设计与制作,225
中高职贯通,上海市现代职业技术学校,新能源汽车技术,156.5
中高职贯通,上海市现代职业技术学校,机场运行服务与管理,245.5
中高职贯通,上海市现代职业技术学校,航空物流管理,229.5
中高职贯通,上海市现代职业技术学校,游戏艺术设计,155
中高职贯通,上海市现代职业技术学校,广告艺术设计,152.5
中高职贯通,上海市逸夫职业技术学校,艺术设计,274.5
中高职贯通,上海市逸夫职业技术学校,影视动画,323
中高职贯通,上海市逸夫职业技术学校,室内艺术设计,120
中高职贯通,上海市逸夫职业技术学校,动漫设计,257.5
中高职贯通,上海市逸夫职业技术学校,摄影摄像技术,218.5
中高职贯通,上海市曹杨职业技术学校,会展策划与管理,244
中高职贯通,上海市曹杨职业技术学校,烹饪工艺与营养,268
中高职贯通,上海市曹杨职业技术学校,餐饮智能管理,227
中高职贯通,上海市曹杨职业技术学校,酒店管理与数字化运营,222
中高职贯通,上海市曹杨职业技术学校,新能源汽车检测与维修技术,244
中高职贯通,上海市曹杨职业技术学校,汽车检测与维修技术,226
中高职贯通,上海市市北职业高级中学,消防救援技术,241.5
中高职贯通,上海师范大学附属杨浦现代职业学校,新能源汽车检测与维修技术,264
中高职贯通,上海师范大学附属杨浦现代职业学校,数字化设计与制造技术,262.5
中高职贯通,上海市市宝山职业技术学校,机电一体化技术,309
中高职贯通,上海市市宝山职业技术学校,汽车检测与维修技术,219
中高职贯通,上海市市宝山职业技术学校,软件技术,224
中高职贯通,上海鸿文国际职业高级中学,电子商务,201
中高职贯通,上海鸿文国际职业高级中学,虚拟现实技术应用,211
中高职贯通,上海鸿文国际职业高级中学,游戏艺术设计,156.5
中高职贯通,上海市浦东外事服务学校,应用德语,196.5
中高职贯通,上海市浦东外事服务学校,应用日语,221
中高职贯通,上海市浦东外事服务学校,应用英语,210.5
中高职贯通,上海市浦东外事服务学校,应用法语,199
中高职贯通,上海市浦东外事服务学校,国际商务,184
中高职贯通,上海市浦东外事服务学校,新能源汽车技术,221.5
中高职贯通,上海市浦东外事服务学校,数字媒体技术,243.5
中高职贯通,上海市浦东外事服务学校,大数据技术,204.5
中高职贯通,上海第二工业大学附属浦东振华外经职业技术学校,影视编导,236
中高职贯通,上海第二工业大学附属浦东振华外经职业技术学校,融媒体技术与运营,261
中高职贯通,上海第二工业大学附属浦东振华外经职业技术学校,酒店管理与数字化运营,227.5
中高职贯通,上海第二工业大学附属浦东振华外经职业技术学校,婴幼儿托育服务与管理,257.5
中高职贯通,上海市群星职业技术学校,游戏艺术设计,271.5
中高职贯通,上海市群星职业技术学校,艺术设计,273
中高职贯通,上海市群星职业技术学校,数字媒体艺术设计,308
