年份,学校,专业,最低分
2026,上海农林职业技术学院（中职部）,动物医学,633.5
2026,上海南湖职业技术学院（中职部）,护理,617.0
2026,上海交通职业技术学院（中职部）,城市轨道交通机电技术,599.5
2026,上海闵行职业技术学院（中职部）,智能机电技术,594.5
2026,上海交通职业技术学院（中职部）,城市轨道车辆应用技术,594.0
2026,上海农林职业技术学院（中职部）,园林技术,593.5
2026,上海科创职业技术学院（中职部）,工业机器人技术,593.5
2026,上海震旦职业学院（中职部）,药学,591.0
2026,上海南湖职业技术学院（中职部）,数字媒体技术,590.0
2026,上海农林职业技术学院（中职部）,园艺技术,588.5
2026,上海浦东职业技术学院（中职部）,飞行器维修技术,584.5
2026,上海交通职业技术学院（中职部）,城市轨道交通供配电技术,584.0
2026,上海科创职业技术学院（中职部）,电气自动化技术,582.0
2026,上海震旦职业学院（中职部）,护理,580.5
2026,上海交通职业技术学院（中职部）,交通运营管理,580.5
2026,上海浦东职业技术学院（中职部）,航空发动机装配调试技术,579.5
2026,上海南湖职业技术学院（中职部）,融媒体技术与运营,577.0
2026,上海闵行职业技术学院（中职部）,工业机器人技术,577.0
2026,上海现代化工职业学院（中职部）,分析检验技术,576.0
2026,上海电子信息职业技术学院（中职部）,应用电子技术,575.5
2026,上海电子信息职业技术学院（中职部）,数字媒体艺术设计,575.5
2026,上海交通职业技术学院（中职部）,给排水工程技术,572.0
2026,上海交通职业技术学院（中职部）,城市燃气工程技术,569.5
2026,上海闵行职业技术学院（中职部）,服装与服饰设计,567.0
2026,上海科创职业技术学院（中职部）,智能控制技术,566.5
2026,上海浦东职业技术学院（中职部）,融媒体技术与运营,566.5
2026,上海闵行职业技术学院（中职部）,新能源汽车检测与维修技术,565.0
2026,上海浦东职业技术学院（中职部）,飞行器数字化装配技术,561.0
2026,上海闵行职业技术学院（中职部）,云计算技术应用,559.5
2026,上海闵行职业技术学院（中职部）,跨境电子商务,558.5
2026,上海建设管理职业技术学院（中职部）,风景园林设计,558.0
2026,上海浦东职业技术学院（中职部）,智能机器人技术,557.0
2026,上海科创职业技术学院（中职部）,工业互联网技术,556.5
2026,上海建设管理职业技术学院（中职部）,花卉生产与花艺,555.5
2026,上海浦东职业技术学院（中职部）,人工智能技术应用,555.0
2026,上海南湖职业技术学院（中职部）,虚拟现实技术应用,554.5
2026,上海交通职业技术学院（中职部）,现代物流管理,554.0
2026,上海科创职业技术学院（中职部）,跨境电子商务,552.5
2026,上海南湖职业技术学院（中职部）,酒店管理与数字化运营,552.0
2026,上海建设管理职业技术学院（中职部）,政工程技术,551.0
2026,上海科创职业技术学院（中职部）,数控技术,551.0
2026,上海南湖职业技术学院（中职部）,新能源汽车检测与维修技术,549.0
2026,上海浦东职业技术学院（中职部）,虚拟现实技术应用,549.0
2026,上海现代化工职业学院（中职部）,应用化工技术,547.0
2026,上海闵行职业技术学院（中职部）,建筑室内设计,546.5
2026,上海交通职业技术学院（中职部）,航海技术,546.0
2026,上海南湖职业技术学院（中职部）,智能网联汽车技术,541.5
2026,上海南湖职业技术学院（中职部）,国际邮轮乘务管理,537.5
2026,上海现代化工职业学院（中职部）,数字化设计与制造技术,537.0
2026,上海现代化工职业学院（中职部）,机电一体化技术,534.5
2026,上海浦东职业技术学院（中职部）,智能物流技术,534.5
2026,上海建设管理职业技术学院（中职部）,物联网应用技术,533.5
2026,上海浦东职业技术学院（中职部）,跨境电子商务,533.5
2026,上海建设管理职业技术学院（中职部）,智慧城市管理技术,533.0
2026,上海建设管理职业技术学院（中职部）,工程造价,532.5
2026,上海交通职业技术学院（中职部）,汽车检测与维修技术,531.5
2026,上海现代化工职业学院（中职部）,现代物流管理,529.5
2026,上海震旦职业学院（中职部）,大数据与会计,514.5
2026,上海震旦职业学院（中职部）,数字媒体技术,506.0
2026,上海震旦职业学院（中职部）,艺术设计,505.0
2026,上海建设管理职业技术学院（中职部）,测绘地理信息技术,500.5
2026,上海震旦职业学院（中职部）,物联网应用技术,495.0
2026,上海震旦职业学院（中职部）,电子商务,494.5
2026,上海建设管理职业技术学院（中职部）,装配式建筑工程技术,491.5
2026,上海震旦职业学院（中职部）,影视多媒体技术,491.0
2026,上海电子信息职业技术学院（中职部）,消防救援技术,484.0
2026,上海震旦职业学院（中职部）,大数据与财务管理,481.0
2026,上海震旦职业学院（中职部）,酒店管理与数字化运营,473.0
