年份,学校,专业,贯通高校,最低分
2026,上海商业会计学校,信息安全,,691.5
2026,上海港湾学校,机械设计制造及其自动化,,691.0
2026,上海港湾学校,物流工程,,690.0
2026,上海市医药学校,制药工程,,675.0
2026,上海市工程技术管理学校,园艺,,674.0
2026,上海电机学院附属科技学校（上海市临港科技学校）,电气工程及自动化,,673.0
2026,上海健康医学院附属卫生学校,护理学,,672.0
2026,上海工商信息学校,机械工程,,670.0
2026,上海食品科技学校,食品科学与工程,,668.0
2026,上海师范大学附属杨浦现代职业学校,学前,,667.0
2026,上海商业会计学校,会计学,,665.5
2026,上海市材料工程学校,产品设计,,665.0
2026,上海市工业技术学校,智能制造工程技术,,664.0
2026,上海市大众工业学校,电气工程及自动化,,664.0
2026,上海市高级技工学校,车辆工程（城市轨道交通车辆）,,663.5
2026,上海市工商外国语学校,国际经济与贸易,,663.0
2026,上海师范大学附属杨浦现代职业学校,录音艺术,,662.0
2026,上海市浦东外事服务学校,场营销（金融营销）,,660.5
2026,上海市经济管理学校,网络工程,,660.0
2026,上海海事大学附属职业技术学校,物流管理（自贸区物流）,,660.0
2026,上海第二工业大学附属浦东振华外经职业技术学校,税收学,,658.5
2026,上海信息技术学校,化学工程与工艺,,658.0
2026,上海市高级技工学校,智能控制技术,,658.0
2026,上海市第二轻工业学校,网络工程,,656.5
2026,上海市第二轻工业学校,物流管理,,655.5
2026,上海市材料工程学校,材料科学与工程（建筑节能材料）,,655.0
2026,上海市信息管理学校,文物保护与修复,,654.5
2026,上海市商业学校,会计学,,653.5
2026,上海市贸易学校,酒店管理,,653.5
2026,上海市航空服务学校,航空服务艺术与管理,,653.0
2026,上海市城市科技学校,机械设计制造及自动化,,653.0
2026,上海师范大学附属杨浦现代职业学校,智能控制技术,,653.0
2026,上海市西南工程学校,自动化（楼宇智能化）,,651.5
2026,上海市高级技工学校,机械设计制造及自动化,,651.5
2026,上海市工业技术学校,材料成型及控制工程,,651.0
2026,上海市贸易学校,物联网工程,,651.0
2026,上海电机学院附属科技学校（上海市临港科技学校）,财务管理,,649.5
2026,上海市高级技工学校,材料成型及控制工程 （现代模具成形技术）,,648.5
2026,上海市信息管理学校,酒店管理,,646.0
2026,上海商业会计学校,财务管理,,643.5
2026,上海市经济管理学校,动画（数字互动娱乐）,,642.5
2026,上海市经济管理学校,金融学（财富管理）,,639.5
2026,上海市环境学校,机械设计制造及其自动化,,639.5
2026,上海市工商外国语学校,西班牙语（商务）,,638.5
2026,上海信息技术学校,数字媒体技术,,638.0
2026,上海市贸易学校,国际经济与贸易（食品进出口）,,638.0
2026,上海市商业学校,数字媒体艺术,,636.5
2026,上海商业会计学校,场营销（新零售）,,635.0
2026,上海市行政管理学校,会计学,,635.0
2026,上海信息技术学校,物联网工程,,632.5
2026,上海食品科技学校,食品质量与安全,,632.5
2026,上海市贸易学校,食品营养与健康,,632.0
2026,上海市商贸旅游学校,数据科学与大数据技术,,631.5
2026,上海市群星职业技术学校,数字媒体艺术,,630.5
2026,上海市工业技术学校,机器人技术,,630.0
2026,上海市商贸旅游学校,旅游管理,,629.5
2026,上海工商信息学校,人工智能工程技术,,629.5
2026,上海市工商外国语学校,计算机科学与技术,,628.0
