年份,学校,专业,最低分
2026,上海市高级技工学校,电气自动化技术,633.0
2026,上海商业会计学校,大数据与会计,630.5
2026,上海市医药学校,药品生物技术,626.0
2026,上海市工业技术学校,眼视光技术,625.0
2026,上海市商业学校,大数据与会计,624.5
2026,上海信息技术学校,食品质量与安全,621.5
2026,上海海事大学附属职业技术学校,电气自动化技术,618.5
2026,上海市高级技工学校,机械制造及自动化,618.0
2026,上海商业会计学校,影视多媒体技术,617.5
2026,上海市工商外国语学校,国际商务,617.0
2026,上海市环境学校,机电一体化技术,617.0
2026,上海市商业学校,国际商务,612.0
2026,上海市高级技工学校,机械制造及自动化,612.0
2026,上海市商业学校,电子商务,610.5
2026,上海电机学院附属科技学校（上海市临港科技学校）,工业机器人技术,608.0
2026,上海市高级技工学校,应用电子技术,606.0
2026,上海电机学院附属科技学校（上海市临港科技学校）,机电一体化技术,605.0
2026,上海市建筑工程学校,护理,604.0
2026,上海市工商外国语学校,应用英语,601.5
2026,上海科技管理学校,宠物医疗技术,599.5
2026,上海市逸夫职业技术学校,影视动画,599.5
2026,上海信息技术学校,影视多媒体技术,598.5
2026,上海市环境学校,生物产品检验检疫,598.0
2026,上海信息技术学校,人工智能技术应用,597.5
2026,上海港湾学校,数字媒体艺术设计,597.5
2026,上海海事大学附属职业技术学校,数控技术,597.5
2026,上海市商业学校,影视动画,597.0
2026,上海市航空服务学校,飞机机电设备维修,596.5
2026,上海市信息管理学校,航空物流管理,595.5
2026,上海市工程技术管理学校,电气自动化技术,593.5
2026,上海电机学院附属科技学校（上海市临港科技学校）,数控技术,593.0
2026,上海市逸夫职业技术学校,艺术设计,592.5
2026,上海海事大学附属职业技术学校,关务与外贸服务,591.5
2026,上海市工商外国语学校,应用西班牙语,590.5
2026,上海食品科技学校,生物产品检验检疫,589.0
2026,上海市商贸旅游学校,旅游管理,587.5
2026,上海市建筑工程学校,智慧健康养老服务与管理,587.0
2026,上海信息技术学校,飞行器数字化制造技术,586.0
2026,上海市工商外国语学校,旅游日语,585.5
2026,上海科技管理学校,食品检验检测技术,585.5
2026,上海市航空服务学校,飞行器数字化制造技术,585.0
2026,上海市逸夫职业技术学校,动漫设计,585.0
2026,上海市工艺美术学校,工艺美术品设计,584.0
2026,上海市奉贤中等专业学校,酒店管理与数字化运营,584.0
2026,上海海事大学附属职业技术学校,现代物流管理,584.0
2026,上海信息技术学校,软件技术,583.5
2026,上海市信息管理学校,影视多媒体技术,582.5
2026,上海市工业技术学校,工业机器人技术,580.5
2026,上海市工业技术学校,无人机应用技术,580.5
2026,上海市工艺美术学校,艺术设计,579.5
2026,上海电机学院附属科技学校（上海市临港科技学校）,微电子技术,579.5
2026,上海市大众工业学校,机电一体化技术,579.0
2026,上海商业会计学校,大数据与会计,576.5
2026,上海信息技术学校,机电一体化技术,576.5
2026,上海市材料工程学校,电气自动化技术,576.0
2026,上海市大众工业学校,数字媒体技术,575.5
2026,上海市群星职业技术学校,数字媒体艺术设计,575.0
2026,上海市信息管理学校,烹饪工艺与营养,574.0
2026,上海市逸夫职业技术学校,室内艺术设计,574.0
2026,上海市宝山职业技术学校,机电一体化技术,573.0
2026,上海市商贸旅游学校,酒店管理与数字化运营,571.5
2026,上海市环境学校,分析检验技术,571.0
2026,上海市城市科技学校,数字媒体技术,569.0
2026,上海信息技术学校,工业机器人技术,567.5
2026,上海市工商外国语学校,飞行器数字化制造技术,567.0
2026,上海市航空服务学校,民航运输服务,567.0
2026,上海市工商外国语学校,应用韩语,566.5
2026,上海信息技术学校,电子商务,566.5
2026,上海市航空服务学校,民航安全技术管理,566.5
2026,上海市工业技术学校,应用电子技术,565.5
2026,上海市大众工业学校,工业机器人技术,565.0
2026,上海信息技术学校,计算机网络技术,561.5
2026,上海信息技术学校,智能控制技术,561.5
2026,上海市环境学校,环境工程技术,561.5
2026,上海市逸夫职业技术学校,摄影摄像技术,561.0
2026,上海市信息管理学校,民航运输服务,559.5
2026,上海市商业学校,旅游管理,558.5
2026,上海市材料工程学校,工业机器人技术,558.0
2026,上海港湾学校,商务英语,558.0
2026,上海市高级技工学校,出版商务,558.0
2026,上海市商业学校,人物形象设计,557.5
2026,上海市材料工程学校,机电一体化技术,557.0
2026,上海市商业学校,应用日语,557.0
2026,上海市奉贤中等专业学校,人工智能技术应用,557.0
2026,上海市高级技工学校,数字出版,557.0
2026,上海市工业技术学校,数控技术,556.5
2026,上海市现代职业技术学校,机场运行服务与管理,555.5
2026,上海市城市科技学校,工业机器人技术,554.5
2026,上海食品科技学校,农产品加工与质量检测,553.5
2026,上海市高级技工学校,印刷数字图文技术,553.5
2026,上海市高级技工学校,包装策划与设计,553.5
2026,上海市商业学校,应用英语,553.0
2026,上海信息技术学校,信息安全技术应用,552.5
2026,上海市西南工程学校,航空物流管理,552.0
2026,上海市信息管理学校,广告艺术设计,551.5
2026,上海港湾学校,现代物流管理,551.5
2026,上海市材料工程学校,艺术设计,549.0
2026,上海市群星职业技术学校,游戏艺术设计,549.0
